iter	Passed	Remaining
0	0	2784
1	0	2779
2	1	3826
3	1	3289
4	1	3527
5	2	3504
6	2	3661
7	3	3855
8	3	4117
9	4	4215
10	4	4242
11	5	4365
12	5	4492
13	6	4486
14	6	4480
15	7	4408
16	7	4398
17	7	4420
18	8	4435
19	8	4354
20	9	4288
21	9	4366
22	10	4363
23	10	4443
24	11	4489
25	11	4492
26	12	4543
27	12	4583
28	13	4627
29	13	4651
30	14	4752
31	15	4930
32	16	4975
33	17	5094
34	18	5172
35	18	5257
36	19	5300
37	20	5311
38	20	5317
39	21	5376
40	22	5396
41	22	5387
42	23	5438
43	24	5451
44	24	5438
45	25	5444
46	25	5479
47	26	5498
48	27	5531
49	28	5581
50	29	5678
51	29	5677
52	30	5670
53	31	5715
54	31	5722
55	32	5714
56	33	5888
57	34	5890
58	34	5895
59	35	5923
60	36	5964
61	37	5955
62	37	5919
63	38	5901
64	38	5928
65	39	5964
66	40	6021
67	41	6013
68	41	6019
69	42	6042
70	43	6064
71	44	6098
72	45	6135
73	45	6142
74	46	6138
75	47	6148
76	47	6143
77	48	6148
78	48	6138
79	49	6149
80	50	6146
81	50	6146
82	51	6150
83	52	6149
84	52	6149
85	53	6161
86	54	6188
87	55	6199
88	55	6203
89	56	6220
90	57	6233
91	57	6222
92	58	6232
93	59	6230
94	59	6234
95	60	6227
96	61	6230
97	61	6230
98	62	6219
99	62	6220
100	63	6237
101	64	6230
102	64	6220
103	65	6233
104	66	6241
105	67	6263
106	67	6259
107	68	6274
108	69	6272
109	69	6268
110	70	6264
111	71	6289
112	71	6289
113	72	6297
114	73	6293
115	73	6288
116	74	6300
117	75	6315
118	76	6313
119	77	6366
120	78	6369
121	78	6378
122	79	6379
123	80	6382
124	81	6399
125	81	6417
126	82	6434
127	83	6447
128	84	6456
129	84	6448
130	85	6440
131	86	6437
132	86	6441
133	87	6437
134	87	6429
135	88	6445
136	89	6470
137	90	6470
138	91	6472
139	92	6484
140	92	6479
141	93	6476
142	94	6502
143	94	6498
144	95	6505
145	96	6508
146	97	6525
147	97	6519
148	98	6530
149	99	6532
150	100	6532
151	100	6528
152	101	6528
153	102	6526
154	102	6519
155	103	6522
156	104	6531
157	104	6527
158	105	6525
159	106	6526
160	106	6534
161	107	6541
162	108	6548
163	109	6542
164	109	6541
165	110	6537
166	111	6539
167	111	6544
168	112	6552
169	113	6557
170	114	6555
171	114	6567
172	115	6570
173	116	6575
174	117	6571
175	117	6563
176	118	6557
177	118	6559
178	119	6561
179	120	6568
180	121	6569
181	122	6587
182	123	6604
183	123	6606
184	124	6609
185	125	6604
186	125	6605
187	126	6601
188	127	6598
189	127	6607
190	128	6606
191	129	6605
192	129	6604
193	131	6623
194	131	6634
195	132	6633
196	133	6622
197	133	6621
198	134	6623
199	135	6616
200	135	6614
201	136	6621
202	137	6621
203	137	6620
204	138	6618
205	139	6616
206	139	6605
207	140	6608
208	141	6614
209	141	6617
210	142	6618
211	143	6619
212	144	6621
213	144	6629
214	145	6634
215	146	6634
216	147	6639
217	147	6633
218	148	6631
219	149	6636
220	150	6638
221	150	6628
222	151	6629
223	151	6629
224	152	6622
225	152	6616
226	153	6616
227	154	6619
228	155	6633
229	156	6650
230	157	6653
231	157	6649
232	158	6656
233	159	6662
234	160	6662
235	161	6663
236	161	6663
237	162	6660
238	162	6654
239	163	6656
240	164	6654
241	164	6646
242	165	6641
243	166	6639
244	166	6640
245	167	6635
246	167	6629
247	168	6629
248	169	6629
